Wavel.,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9
310,384,345,343,362,328,360,336,337,354,358,4656,4833,4821,5002,4958,4835,4984,5101,5216,5489,5394,5656,5459,5553,5606,5494,5204,5093,5255,5128,5543,5699,5663,5848,8179,8414,8025,8136,7872,7423,6839,6347,5807,5364,5368,5295,4008,5245,4818,4879,5036,4978,5200,5771,5485,5714,5871,5971
311,407,356,370,373,345,384,351,337,374,397,4527,4660,4754,4845,4911,4761,4852,4990,5091,5336,5252,5552,5329,5500,5507,5471,5299,5179,5418,5352,5614,5862,5873,6138,8230,8525,8053,8021,7841,7487,6861,6377,5844,5493,5431,5379,3989,5427,4995,5009,5101,5074,5315,5863,5739,5883,6072,6032
312,444,383,413,414,385,401,372,386,427,424,4479,4538,4588,4757,4672,4628,4763,4895,4993,5174,5163,5357,5160,5371,5520,5615,5584,5399,5615,5525,5933,6085,6106,6245,8444,8595,8120,8147,7985,7639,6932,6413,6034,5654,5617,5521,4165,5653,5264,5206,5429,5329,5522,6150,5914,6127,6416,6359
313,473,413,442,428,413,430,419,389,446,462,4395,4410,4480,4621,4605,4503,4685,4755,4829,5096,5057,5204,5062,5309,5523,5733,5716,5516,5801,5640,6109,6346,6315,6480,8400,8661,8174,8138,7973,7566,6939,6449,6199,5743,5741,5772,4326,5728,5324,5283,5528,5475,5679,6225,5935,6303,6500,6496
314,524,461,478,481,432,481,455,448,466,492,4187,4363,4345,4522,4502,4363,4485,4569,4625,4823,4858,5048,4956,5250,5473,5918,6041,5849,6042,6068,6418,6625,6638,6930,8695,8792,8231,8204,7994,7639,7011,6540,6324,5980,6018,5978,4498,6026,5576,5602,5829,5772,5989,6373,6482,6633,6871,6879
315,560,502,510,518,476,509,472,468,514,515,4118,4192,4296,4401,4353,4297,4332,4492,4533,4786,4733,4936,4739,5164,5539,5956,6196,6094,6277,6166,6567,6723,6815,7027,8655,8771,8248,8273,8012,7641,7081,6632,6354,6108,6239,6186,4584,6158,5849,5847,6059,5943,6116,6733,6570,6879,6976,6938
316,603,534,559,575,526,572,540,519,569,584,4067,4168,4157,4351,4243,4186,4263,4318,4424,4614,4614,4759,4675,5171,5646,6208,6510,6271,6608,6470,7040,7160,7262,7511,8650,8929,8412,8228,8183,7664,7190,6767,6562,6388,6483,6413,4865,6446,5982,6086,6310,6177,6465,7159,6961,7215,7376,7322
317,639,590,595,593,554,598,539,550,610,603,3932,3992,4052,4225,4108,4059,4119,4173,4288,4457,4518,4670,4530,4989,5593,6407,6631,6533,6766,6705,7185,7368,7377,7639,8735,8860,8366,8263,8003,7688,7127,6860,6663,6426,6585,6639,4961,6588,6208,6158,6490,6399,6620,6952,6910,7291,7465,7583
318,685,633,645,652,599,655,627,612,652,667,3892,3952,3938,4128,4077,3910,4002,4115,4171,4324,4370,4479,4490,4965,5679,6552,7003,6837,7095,6939,7514,7694,7799,8131,8784,8964,8469,8344,8165,7760,7110,6981,6837,6635,6793,6913,5164,7009,6443,6504,6725,6763,6927,7689,7267,7807,7898,7930
319,697,668,712,687,658,690,641,641,698,707,3783,3861,3857,3945,3987,3852,3873,3972,4091,4234,4276,4454,4378,4898,5788,6758,7351,7244,7464,7354,7980,8033,8023,8542,8936,8913,8418,8309,8168,7818,7242,7024,7038,6937,7023,7165,5367,7289,6833,6778,7024,6959,7350,7885,7464,8163,8244,8304
320,761,680,724,713,671,716,683,670,713,732,3607,3709,3813,3863,3826,3764,3785,3869,3877,4099,4117,4286,4254,4907,5884,6975,7559,7328,7769,7540,8162,8466,8332,8788,8796,9048,8431,8310,7996,7726,7273,7178,7155,7140,7267,7374,5629,7569,6989,7014,7277,7226,7495,7885,7956,8414,8560,8679
321,761,714,719,717,686,731,686,681,739,754,3534,3624,3653,3740,3685,3713,3612,3715,3789,3944,4013,4187,4134,4794,5897,7108,7704,7663,7914,7773,8431,8645,8695,9038,8763,9036,8393,8282,8052,7703,7246,7196,7317,7272,7572,7658,5794,7777,7161,7328,7449,7415,7737,7945,8060,8563,8821,8811
322,749,695,704,722,700,726,666,677,715,721,3425,3500,3474,3633,3609,3493,3519,3587,3619,3811,3803,4090,4072,4747,5914,7351,8068,7931,8343,7992,8689,8999,8966,9425,8638,8996,8399,8283,8067,7635,7258,7162,7492,7507,7735,7855,6022,8124,7503,7597,7812,7715,8024,8586,8503,9030,9201,9258
323,734,655,681,693,663,709,658,642,707,704,3290,3389,3377,3520,3495,3383,3400,3479,3502,3678,3759,3929,3951,4698,5853,7490,8325,8168,8570,8387,8947,9259,9274,9619,8604,8896,8249,8142,8000,7705,7234,7358,7638,7586,7972,8094,6232,8393,7705,7684,8041,7906,8221,8562,8707,9234,9451,9563
324,689,628,643,643,612,628,619,595,642,642,3200,3297,3282,3362,3316,3231,3263,3335,3439,3482,3600,3796,3845,4568,5961,7638,8616,8510,8819,8575,9281,9654,9711,10058,8696,8997,8268,8204,7824,7733,7246,7351,7804,7856,8230,8287,6439,8630,8113,8072,8200,8207,8617,9229,9107,9573,9750,9909
325,632,592,596,599,577,605,557,563,602,614,3110,3152,3121,3224,3201,3146,3111,3256,3260,3340,3482,3657,3720,4544,6041,7755,8784,8633,9114,8987,9434,9947,9966,10271,8748,8884,8258,8011,7858,7608,7181,7381,7939,7993,8510,8523,6506,8772,8110,8217,8421,8301,8776,9331,9228,9724,10055,10142
326,590,532,548,570,526,573,534,514,558,573,2941,3052,2999,3076,3125,2991,2988,3089,3120,3227,3313,3508,3568,4473,6068,8009,8971,8943,9351,9156,9751,10225,10204,10704,8379,8754,8146,7987,7761,7448,7259,7429,7945,8134,8634,8798,6732,9036,8546,8538,8743,8624,9048,9736,9911,10140,10256,10403
327,546,492,501,512,476,523,474,487,511,543,2862,2902,2908,2977,3001,2915,2885,2986,2988,3105,3254,3407,3510,4393,6081,8146,9183,9090,9542,9377,10055,10375,10443,10889,8465,8733,8102,7899,7675,7527,7169,7510,7935,8295,8714,8896,6875,9352,8587,8709,8845,8823,9206,9611,10177,10308,10572,10658
328,509,448,451,467,427,465,439,437,476,483,2715,2812,2725,2821,2832,2734,2748,2841,2843,2949,3107,3263,3402,4324,6123,8352,9563,9469,9980,9829,10489,11064,11023,11199,8541,8581,7993,7814,7608,7477,7268,7582,8270,8654,9091,9408,7172,9663,8982,8980,9274,9197,9447,10181,10292,10684,11045,11019
329,482,435,443,458,413,448,421,414,454,466,2602,2709,2664,2735,2722,2664,2638,2757,2729,2889,3004,3184,3287,4225,6151,8521,9700,9585,10035,9844,10502,11026,10995,11291,8214,8399,7907,7748,7499,7302,7232,7521,8203,8559,9163,9368,7086,9754,9119,9190,9128,9354,9544,10009,10207,10765,11012,11098
330,457,404,429,411,390,432,402,382,425,434,2497,2590,2597,2653,2620,2516,2525,2618,2623,2756,2894,3091,3206,4219,6212,8769,9844,9871,10304,10111,10697,11284,11410,11632,8168,8302,7746,7640,7400,7254,7138,7522,8345,8779,9258,9531,7201,9932,9273,9334,9473,9435,9837,10355,10208,10921,11340,11372
331,443,394,394,417,359,406,374,372,404,415,2418,2491,2492,2546,2557,2441,2444,2526,2598,2630,2785,2998,3104,4214,6182,8745,9902,9948,10445,10116,11046,11602,11581,11895,7938,8236,7633,7512,7306,7139,7123,7521,8462,8801,9326,9556,7343,10043,9291,9373,9702,9586,9909,10661,10382,11081,11483,11629
332,420,360,386,378,356,386,361,344,400,397,2335,2403,2377,2452,2419,2360,2347,2386,2470,2562,2665,2878,3003,4113,6251,8930,10120,10171,10629,10541,11245,11636,11673,12232,7931,8105,7488,7414,7223,7032,7042,7495,8413,8960,9582,9742,7514,10190,9597,9465,9976,9684,10238,10882,11063,11423,11836,11771
333,397,359,357,369,341,380,333,328,363,371,2228,2304,2310,2397,2361,2249,2244,2342,2340,2494,2636,2789,2974,4065,6332,8928,10324,10144,10724,10473,11301,11874,11787,12232,7680,7943,7316,7184,7073,6977,6907,7472,8418,8970,9584,9748,7538,10352,9578,9577,9831,9735,10291,10512,10915,11578,11772,11798
334,380,339,344,347,312,345,328,317,340,353,2113,2184,2182,2253,2254,2165,2164,2242,2240,2345,2506,2706,2894,4014,6218,9041,10443,10277,10940,10702,11530,11904,11969,12569,7588,7740,7304,7061,6928,6754,6754,7483,8515,9090,9694,9933,7746,10600,9639,9817,9840,10101,10386,10874,11116,11822,11905,11971
335,357,318,331,333,304,318,298,299,325,334,2019,2103,2076,2180,2141,2084,2060,2153,2184,2282,2421,2616,2830,3977,6166,9031,10287,10565,10984,10746,11497,11985,12112,12632,7392,7564,6965,6929,6668,6632,6717,7404,8493,8977,9673,9959,7715,10289,9744,9791,9979,10057,10276,10826,11021,11809,12035,12069
336,341,307,302,306,291,318,272,286,315,312,1923,2005,1999,2067,2079,1984,2000,2068,2064,2189,2361,2522,2693,3883,6150,8980,10436,10326,10968,10646,11460,11953,12216,12702,7158,7300,6870,6730,6558,6510,6636,7303,8517,8965,9821,10146,7671,10687,9691,9729,10017,10069,10245,10972,11223,11958,12021,12134
337,318,274,285,287,264,295,269,267,293,294,1866,1961,1921,1962,1947,1904,1923,1969,1995,2072,2237,2411,2592,3772,6126,8976,10515,10555,11046,10809,11747,12011,12126,12605,7004,7174,6660,6570,6299,6370,6471,7202,8500,9088,9784,9928,7684,10633,9750,9861,10001,10042,10594,11015,11087,11939,12013,12193
